Feb 08, 2026 8:47:11 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Feb 08, 2026 8:47:11 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Feb 08, 2026 8:47:11 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /opt/karaf/lock
Feb 08, 2026 8:47:11 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Feb 08, 2026 8:47:11 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2026-02-08T20:47:12,017 | INFO  | fileinstall-/opt/karaf/etc | fileinstall                      | 18 - org.apache.felix.fileinstall - 3.7.4 | Updating configuration {org.apache.karaf.command.acl.scope_bundle} from /opt/karaf/etc/org.apache.karaf.command.acl.scope_bundle.cfg
2026-02-08T20:47:12,018 | INFO  | CM Configuration Updater (Update: pid=org.ops4j.pax.logging) | EventAdminConfigurationNotifier  | 5 - org.ops4j.pax.logging.pax-logging-log4j2 - 2.2.7 | Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
2026-02-08T20:47:13,600 | INFO  | activator-1-thread-2 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 | Adding features: webconsole/[4.4.6,4.4.6],package/[4.4.6,4.4.6],bundle/[4.4.6,4.4.6],feature/[4.4.6,4.4.6],deployer/[4.4.6,4.4.6],diagnostic/[4.4.6,4.4.6],ssh/[4.4.6,4.4.6],framework/[4.4.6,4.4.6],kar/[4.4.6,4.4.6],management/[4.4.6,4.4.6],eventadmin/[4.4.6,4.4.6],war/[4.4.6,4.4.6],config/[4.4.6,4.4.6],log/[4.4.6,4.4.6],shell/[4.4.6,4.4.6],instance/[4.4.6,4.4.6],jaas/[4.4.6,4.4.6],camel/[4.10.7,4.10.7],wrap/[2.6.14,2.6.14],system/[4.4.6,4.4.6],service/[4.4.6,4.4.6]
2026-02-08T20:47:13,664 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 | Changes to perform:
2026-02-08T20:47:13,664 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   Region: root
2026-02-08T20:47:13,665 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |     Bundles to install:
2026-02-08T20:47:13,665 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.ops4j.pax.url/pax-url-wrap/2.6.14/jar/uber
2026-02-08T20:47:13,666 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 | Installing bundles:
2026-02-08T20:47:13,666 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.ops4j.pax.url/pax-url-wrap/2.6.14/jar/uber
2026-02-08T20:47:13,693 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 | Starting bundles:
2026-02-08T20:47:13,695 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.ops4j.pax.url.wrap/2.6.14
2026-02-08T20:47:13,700 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 | Done.
2026-02-08T20:47:17,225 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 | Changes to perform:
2026-02-08T20:47:17,225 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   Region: root
2026-02-08T20:47:17,225 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |     Bundles to install:
2026-02-08T20:47:17,226 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.eclipse.angus/angus-activation/2.0.2
2026-02-08T20:47:17,226 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.bouncycastle/bcpkix-jdk18on/1.77
